,player_name,club,position,minutes_played,match_played,goals,assists,distance_covered,conceded,balls_recoverd,tackles,t_won,t_lost,clearance_attempted,corner_taken,offsides,dribbles,fouls_committed,fouls_suffered,yellow,red,right_foot,left_foot,headers,others,inside_area,outside_areas,penalties,total_attempts,on_target,off_target,on_target_rate,blocked,pass_accuracy,pass_attempted,pass_completed,cross_accuracy,cross_attempted,cross_complted,freekicks_taken
37,Keïta,Liverpool,Midfielder,487,10,1,2,61.5,,21.0,8.0,2.0,6.0,7.0,0.0,0.0,6.0,15.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,2.0,8.0,0.14285714285714285,4.0,87.9,354.0,313.0,0.0,4.0,0.0,5.0
38,Luis Díaz,Liverpool,Forward,385,7,2,1,49.9,,16.0,8.0,3.0,5.0,2.0,0.0,2.0,42.0,,,,,2.0,1.0,1.0,0.0,4.0,0.0,0.0,,,,,,83.8,341.0,282.0,18.0,11.0,2.0,0.0
39,Tsimikas,Liverpool,Defender,344,5,0,2,42.7,,26.0,2.0,1.0,1.0,10.0,16.0,0.0,4.0,4.0,8.0,0.0,0.0,,,,,,,,,,,,,78.6,201.0,165.0,22.0,40.0,9.0,8.0
40,Firmino,Liverpool,Midfielder,323,7,5,0,43.0,,17.0,2.0,1.0,1.0,1.0,,,,4.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0,4.0,1.0,0.0,13.0,5.0,2.0,0.38461538461538464,6.0,85.7,176.0,150.0,0.0,0.0,0.0,0.0
41,Oxlade-Chamberlain,Liverpool,Midfielder,300,6,0,1,38.6,,17.0,1.0,1.0,0.0,4.0,9.0,0.0,6.0,2.0,2.0,0.0,0.0,,,,,,,,10.0,3.0,4.0,0.3,3.0,85.3,165.0,141.0,20.0,10.0,2.0,5.0
42,Gomez,Liverpool,Defender,245,7,0,0,30.4,,14.0,0.0,0.0,0.0,5.0,,,,1.0,0.0,0.0,0.0,,,,,,,,1.0,1.0,0.0,1.0,0.0,75.4,200.0,173.0,0.0,1.0,0.0,2.0
43,Minamino,Liverpool,Forward,215,4,0,0,29.7,,6.0,2.0,0.0,2.0,0.0,,,,3.0,3.0,0.0,0.0,,,,,,,,2.0,0.0,2.0,0.0,0.0,93.0,76.0,69.0,0.0,1.0,0.0,1.0
44,Milner,Liverpool,Midfielder,211,8,0,1,32.0,,5.0,6.0,3.0,3.0,6.0,4.0,0.0,1.0,12.0,4.0,3.0,0.0,,,,,,,,2.0,1.0,0.0,0.5,1.0,57.5,157.0,116.0,22.0,9.0,2.0,7.0
45,Origi,Liverpool,Forward,187,7,1,1,23.8,,5.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,12.0,2.0,8.0,0.16666666666666666,2.0,74.7,47.0,35.0,0.0,3.0,0.0,0.0
46,Jones,Liverpool,Midfielder,185,4,0,2,27.1,,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,,,,,,,,7.0,4.0,1.0,0.5714285714285714,2.0,86.3,132.0,118.0,0.0,1.0,0.0,3.0
