,Igrač,Klub,Pozicija,Broj_minuta,Broj_mečeva,Golovi,Asistencije,Broj_faulova,Golovi_desnom,Golovi_lijevom,Golovi_glavom,Drugačiji_golovi,Iz_šesnaesterca,Van_šesnaesterca,Penali,Šutevi,Unutar_okvira
109,Jesus,Man. City,Napad,352,8,4,1,9,4,0,0,0,4,0,0,9,7
110,Brahim Díaz,AC Milan,Sredina,351,5,1,1,3,0,1,0,0,1,0,0,5,2
111,Fernando,Shakhtar Donetsk,Sredina,350,5,2,0,6,2,0,0,0,2,0,0,12,5
112,Luis Suárez,Atlético Madrid,Napad,347,7,1,0,3,1,0,0,0,1,0,1,8,2
113,Okafor,Red Bull Salzburg,Sredina,345,6,3,0,5,3,0,0,0,3,0,0,7,5
114,Ghezzal,Beşiktaş,Sredina,345,5,1,0,4,0,1,0,0,1,0,1,8,2
115,Siebatcheu,Young Boys,Napad,341,6,2,0,7,1,0,1,0,2,0,0,10,3
116,Chiesa,Juventus,Napad,336,4,2,0,5,0,2,0,0,2,0,0,13,4
117,Trigueros,Villarreal,Sredina,330,9,1,0,3,1,0,0,0,1,0,0,6,6
118,Pedro Gonçalves,Sporting CP,Sredina,329,5,4,2,3,4,0,0,0,3,1,1,13,7
119,Jordán,Sevilla,Sredina,327,6,1,0,10,0,0,1,0,1,0,0,3,2
120,Herrera,PSG,Sredina,326,6,1,0,6,0,1,0,0,1,0,0,3,2
121,Garmash,Dynamo Kyiv,Sredina,325,6,1,0,11,1,0,0,0,1,0,0,7,3
122,Aké,Man. City,Odbrana,324,6,1,0,3,0,0,1,0,1,0,0,4,1
123,L. Nmecha,Wolfsburg,Napad,322,5,2,0,8,1,0,1,0,2,0,0,9,4
124,Lukaku,Chelsea,Napad,320,6,2,0,2,0,1,1,0,2,0,0,11,3
125,Moreno,Villarreal,Odbrana,309,7,1,0,5,0,1,0,0,1,0,0,3,2
126,Montero,Beşiktaş,Odbrana,306,4,1,0,4,0,0,1,0,1,0,0,1,1
127,Greenwood,Man. United,Napad,304,4,1,1,3,0,1,0,0,1,0,0,2,2
128,Azmoun,Zenit,Napad,303,5,2,1,3,2,0,0,0,2,0,0,8,6
129,Malinovskyi,Atalanta,Sredina,301,5,1,0,6,0,1,0,0,0,1,0,11,4
130,Sérgio Oliveira,Porto,Sredina,300,6,1,0,5,1,0,0,0,1,0,1,2,1
131,Ikoné,LOSC,Sredina,297,5,1,2,6,1,0,0,0,1,0,0,11,4
132,Rafael Leão,AC Milan,Napad,294,4,1,1,4,1,0,0,0,1,0,0,1,1
133,Sutormin,Zenit,Sredina,293,4,1,0,1,0,1,0,0,0,1,0,2,2
134,Alex Telles,Man. United,Odbrana,293,4,1,0,2,0,1,0,0,0,1,0,1,1
135,Hudson-Odoi,Chelsea,Sredina,289,5,1,2,4,0,1,0,0,1,0,0,7,3
136,Rakitić,Sevilla,Sredina,276,5,2,1,6,2,0,0,0,2,0,2,7,3
137,Chukwueze,Villarreal,Sredina,273,9,2,0,6,0,2,0,0,2,0,0,3,2
138,Rieder,Young Boys,Sredina,272,6,1,1,6,1,0,0,0,0,1,0,6,2
139,Rafa Mir,Sevilla,Napad,271,6,1,1,3,1,0,0,0,1,0,0,10,4
140,Wijnaldum,PSG,Sredina,261,5,2,0,4,0,1,1,0,2,0,0,4,4
141,Dia,Villarreal,Napad,258,8,1,0,3,1,0,0,0,1,0,0,5,2
142,Steffen,Wolfsburg,Sredina,258,5,2,0,5,0,2,0,0,2,0,0,5,2
143,Rashford,Man. United,Napad,257,5,1,0,3,1,0,0,0,1,0,0,10,2
144,Kuzyaev,Zenit,Sredina,257,4,1,0,3,0,0,1,0,1,0,0,3,1
145,Dybala,Juventus,Napad,255,5,3,1,2,0,3,0,0,3,0,2,12,5
146,Iličić,Atalanta,Sredina,249,4,1,1,1,0,1,0,0,1,0,0,3,1
147,Sierro,Young Boys,Sredina,240,5,1,0,5,0,1,0,0,1,0,0,5,3
148,Klaassen,Ajax,Sredina,232,7,1,1,5,1,0,0,0,1,0,0,1,1
149,Adamu,Red Bull Salzburg,Napad,231,8,1,0,10,1,0,0,0,1,0,0,4,2
150,Rieks,Malmö,Sredina,222,3,1,0,1,1,0,0,0,1,0,0,3,1
151,Pašalić,Atalanta,Sredina,220,5,1,1,2,0,1,0,0,1,0,0,3,1
152,Nuno Santos,Sporting CP,Napad,218,7,1,0,1,0,1,0,0,1,0,0,2,1
153,Pessina,Atalanta,Sredina,211,4,1,0,2,0,1,0,0,1,0,0,2,2
154,Szoboszlai,Leipzig,Sredina,209,4,2,0,1,1,1,0,0,2,0,1,4,2
155,Yakhshiboev,Sheriff Tiraspol,Napad,205,3,1,0,5,0,0,1,0,1,0,0,4,2
156,Neres,Ajax,Napad,203,5,1,0,3,0,1,0,0,1,0,0,6,3
157,Haaland,Borussia Dortmund,Napad,203,3,3,0,2,0,1,2,0,3,0,0,12,7
158,Bruno Tabata,Sporting CP,Sredina,201,4,1,1,5,0,1,0,0,1,0,0,4,1
159,Morato,Benfica,Odbrana,180,2,1,0,1,0,0,1,0,1,0,0,1,1
160,Chalobah,Chelsea,Odbrana,175,3,1,0,3,1,0,0,0,1,0,0,3,1
161,Elanga,Man. United,Napad,172,3,1,0,3,1,0,0,0,1,0,0,4,3
162,Kean,Juventus,Napad,168,6,1,0,5,0,0,1,0,1,0,0,9,4
163,Gomes,LOSC,Sredina,168,4,1,1,1,1,0,0,0,1,0,0,3,1
164,Yansané,Sheriff Tiraspol,Napad,156,3,1,0,1,0,0,1,0,1,0,0,3,2
165,Alexis Sánchez,Inter Milan,Napad,155,6,1,1,2,1,0,0,0,1,0,0,2,1
166,Fati,Barcelona,Napad,154,3,1,0,6,1,0,0,0,1,0,0,4,1
167,Muriel,Atalanta,Napad,130,5,1,0,2,1,0,0,0,0,1,0,8,4
168,Rebić,AC Milan,Napad,117,2,1,0,2,1,0,0,0,1,0,0,2,2
169,Messias Junior,AC Milan,Napad,115,2,1,0,2,0,0,1,0,1,0,0,1,1
170,Gosens,Atalanta,Sredina,101,2,1,0,2,0,1,0,0,1,0,0,3,2
171,Nikolov,Sheriff Tiraspol,Sredina,97,5,1,0,4,1,0,0,0,1,0,0,3,1
172,Kulusevski,Juventus,Sredina,80,5,1,0,6,0,0,1,0,1,0,0,1,1
173,Alcácer,Villarreal,Napad,73,3,1,0,1,1,0,0,0,1,0,0,4,2
174,Choupo-Moting,Bayern Munchen,Sredina,49,4,1,0,2,0,0,1,0,1,0,0,3,1
175,Kjærgaard,Red Bull Salzburg,Sredina,38,4,1,0,2,0,1,0,0,1,0,0,1,1
